26958,"Emma (1996)","Romance"
26982,"Men with Guns (1997)","Drama"
64997,"War of the Worlds (2005)","Action|Sci-Fi"
65665,"Hamlet (2000)","Drama"
67459,"Chaos (2005)","Crime|Drama|Horror"
80330,"Offside (2006)","Comedy|Drama"
85070,"Blackout (2007)","Drama"
101212,"Girl, The (2012)","Drama"
114130,"20,000 Leagues Under the Sea (1997)","Romance|Sci-Fi"
114240,"Aladdin (1992)","Adventure|Animation|Children|Comedy|Fantasy"
115777,"Beneath (2013)","Horror"
121586,"Paradise (2013)","Romance"
122940,"Clear History (2013)","Comedy"
128862,"Casanova (2005)","Comedy|Drama|Romance"
128991,"Johnny Express (2014)","Animation|Comedy|Sci-Fi"
130062,"Darling (2007)","Drama"
